time [s],Cell Voltage [V],SOC [%]
393,3.454,7.53739931
394,3.455,7.556578443
395,3.456,7.575757576
396,3.457,7.594936709
397,3.4575,7.614115842
398,3.458,7.633294975
399,3.458,7.652474108
400,3.458,7.671653241
401,3.458,7.690832374
402,3.458,7.710011507
403,3.458,7.729190641
404,3.458,7.748369774
405,3.458,7.767548907
406,3.458,7.78672804
407,3.46,7.805907173
408,3.462,7.825086306
409,3.465,7.844265439
410,3.468,7.863444572
411,3.4685,7.882623705
412,3.469,7.901802839
413,3.469,7.920981972
414,3.469,7.940161105
415,3.469,7.959340238
416,3.469,7.978519371
417,3.469,7.997698504
418,3.469,8.016877637
419,3.473,8.03605677
420,3.477,8.055235903
421,3.473,8.074415036
422,3.469,8.09359417
423,3.469,8.112773303
424,3.469,8.131952436
425,3.471,8.151131569
426,3.473,8.170310702
427,3.4745,8.189489835
428,3.476,8.208668968
429,3.4775,8.227848101
430,3.479,8.247027234
431,3.4795,8.266206367
432,3.48,8.285385501
433,3.48,8.304564634
434,3.48,8.323743767
435,3.48,8.3429229
436,3.48,8.362102033
437,3.48,8.381281166
438,3.48,8.400460299
439,3.48,8.419639432
440,3.48,8.438818565
441,3.48,8.457997699
442,3.48,8.477176832
443,3.48,8.496355965
444,3.48,8.515535098
445,3.48,8.534714231
446,3.48,8.553893364
447,3.48,8.573072497
448,3.48,8.59225163
449,3.48,8.611430763
450,3.48,8.630609896
451,3.48,8.64978903
452,3.48,8.668968163
453,3.48,8.688147296
454,3.48,8.707326429
455,3.48,8.726505562
456,3.48,8.745684695
457,3.48,8.764863828
458,3.48,8.784042961
459,3.48,8.803222094
460,3.48,8.822401227
461,3.48,8.841580361
462,3.48,8.860759494
463,3.48,8.879938627
464,3.48,8.89911776
465,3.48,8.918296893
466,3.48,8.937476026
467,3.48,8.956655159
468,3.48,8.975834292
469,3.48,8.995013425
470,3.48,9.014192558
471,3.48,9.033371692
472,3.48,9.052550825
473,3.48,9.071729958
474,3.48,9.090909091
475,3.4815,9.110088224
476,3.483,9.129267357
477,3.483,9.14844649
478,3.483,9.167625623
479,3.4815,9.186804756
480,3.48,9.20598389
481,3.4835,9.225163023
482,3.487,9.244342156
483,3.4885,9.263521289
484,3.49,9.282700422
485,3.4905,9.301879555
486,3.491,9.321058688
487,3.491,9.340237821
488,3.491,9.359416954
489,3.491,9.378596087
